time,Open,High,Low,Close,Volume
2021-08-10 14:57:00-04:00,56.87,56.87,56.865,56.87,769
2021-08-10 14:58:00-04:00,56.86,56.87,56.86,56.87,476
2021-08-10 14:59:00-04:00,56.875,56.875,56.87,56.87,359
2021-08-10 15:00:00-04:00,56.87,56.875,56.87,56.875,638
2021-08-10 15:01:00-04:00,56.875,56.875,56.87,56.875,1416
2021-08-10 15:02:00-04:00,56.875,56.875,56.875,56.875,348
2021-08-10 15:03:00-04:00,56.87,56.875,56.87,56.87,919
2021-08-10 15:04:00-04:00,56.865,56.865,56.86,56.86,411
2021-08-10 15:05:00-04:00,56.85,56.85,56.84,56.845,768
2021-08-10 15:08:00-04:00,56.83,56.84,56.83,56.835,1101
2021-08-10 15:09:00-04:00,56.82,56.82,56.82,56.82,407
2021-08-10 15:10:00-04:00,56.82,56.82,56.82,56.82,207
2021-08-10 15:11:00-04:00,56.815,56.815,56.815,56.815,302
2021-08-10 15:12:00-04:00,56.815,56.815,56.815,56.815,400
2021-08-10 15:13:00-04:00,56.815,56.82,56.8,56.82,1044
2021-08-10 15:14:00-04:00,56.83,56.84,56.83,56.84,500
2021-08-10 15:15:00-04:00,56.84,56.85,56.84,56.85,301
2021-08-10 15:16:00-04:00,56.845,56.845,56.845,56.845,100
2021-08-10 15:17:00-04:00,56.835,56.835,56.835,56.835,100
2021-08-10 15:18:00-04:00,56.83,56.83,56.82,56.82,207
2021-08-10 15:19:00-04:00,56.825,56.825,56.825,56.825,278
2021-08-10 15:21:00-04:00,56.825,56.83,56.82,56.83,623
2021-08-10 15:22:00-04:00,56.825,56.825,56.825,56.825,110
2021-08-10 15:23:00-04:00,56.825,56.825,56.82,56.825,1023
2021-08-10 15:24:00-04:00,56.83,56.835,56.83,56.835,800
2021-08-10 15:25:00-04:00,56.835,56.835,56.83,56.83,619
2021-08-10 15:27:00-04:00,56.82,56.825,56.815,56.815,317
2021-08-10 15:28:00-04:00,56.815,56.815,56.81,56.815,801
2021-08-10 15:29:00-04:00,56.82,56.82,56.805,56.805,601
2021-08-10 15:30:00-04:00,56.81,56.81,56.8,56.8,419
2021-08-10 15:31:00-04:00,56.785,56.79,56.785,56.79,477
2021-08-10 15:32:00-04:00,56.79,56.8,56.79,56.8,1300
2021-08-10 15:33:00-04:00,56.8,56.81,56.8,56.81,802
2021-08-10 15:34:00-04:00,56.82,56.82,56.81,56.81,1533
2021-08-10 15:35:00-04:00,56.82,56.83,56.82,56.83,899
2021-08-10 15:36:00-04:00,56.83,56.83,56.82,56.83,620
2021-08-10 15:37:00-04:00,56.825,56.825,56.81,56.81,714
2021-08-10 15:38:00-04:00,56.8,56.805,56.795,56.795,1146
2021-08-10 15:39:00-04:00,56.8,56.8,56.78,56.78,417
2021-08-10 15:40:00-04:00,56.795,56.8,56.785,56.785,798
2021-08-10 15:41:00-04:00,56.775,56.79,56.775,56.785,618
2021-08-10 15:42:00-04:00,56.79,56.79,56.785,56.79,613
2021-08-10 15:43:00-04:00,56.79,56.79,56.77,56.775,1376
2021-08-10 15:44:00-04:00,56.765,56.765,56.76,56.76,661
2021-08-10 15:45:00-04:00,56.755,56.755,56.755,56.755,291
2021-08-10 15:46:00-04:00,56.75,56.755,56.74,56.745,1954
2021-08-10 15:47:00-04:00,56.72,56.72,56.71,56.715,570
2021-08-10 15:48:00-04:00,56.715,56.715,56.7,56.705,3715
2021-08-10 15:49:00-04:00,56.71,56.71,56.69,56.69,1203
2021-08-10 15:50:00-04:00,56.685,56.715,56.685,56.715,6596
2021-08-10 15:51:00-04:00,56.71,56.71,56.66,56.675,4202
2021-08-10 15:52:00-04:00,56.67,56.685,56.665,56.68,8469
2021-08-10 15:53:00-04:00,56.67,56.685,56.665,56.685,4110
2021-08-10 15:54:00-04:00,56.695,56.705,56.695,56.705,433
2021-08-10 15:55:00-04:00,56.705,56.725,56.705,56.725,5595
2021-08-10 15:56:00-04:00,56.725,56.745,56.72,56.745,13736
2021-08-10 15:57:00-04:00,56.745,56.79,56.745,56.79,4467
2021-08-10 15:58:00-04:00,56.785,56.785,56.77,56.775,6184
2021-08-10 15:59:00-04:00,56.775,56.79,56.775,56.785,12145
2021-08-11 09:30:00-04:00,56.86,56.94,56.845,56.94,1147
2021-08-11 09:31:00-04:00,56.95,56.95,56.95,56.95,100
2021-08-11 09:32:00-04:00,56.95,56.96,56.94,56.94,350
2021-08-11 09:33:00-04:00,56.96,56.96,56.92,56.92,619
2021-08-11 09:34:00-04:00,56.91,56.91,56.88,56.89,709
2021-08-11 09:35:00-04:00,56.905,56.925,56.905,56.925,300
2021-08-11 09:36:00-04:00,56.92,56.99,56.92,56.99,1622
2021-08-11 09:37:00-04:00,57.02,57.03,57.02,57.02,917
2021-08-11 09:38:00-04:00,57.0,57.0,57.0,57.0,124
2021-08-11 09:39:00-04:00,56.96,56.96,56.96,56.96,111
2021-08-11 09:40:00-04:00,56.925,56.945,56.91,56.945,703
2021-08-11 09:41:00-04:00,56.97,56.97,56.945,56.95,1765
2021-08-11 09:42:00-04:00,56.935,56.95,56.93,56.93,800
2021-08-11 09:43:00-04:00,56.92,56.98,56.915,56.98,1297
